Name,Species,Country,Latitude,Longitude,DateCollected
WMB5037-14|Zerynthia cassandra|COI-5P|MH419064,cassandra,Italy,42.86,10.97,4/17/14
WMB6072-18|Zerynthia cassandra|COI-5P|MH420192,cassandra,Italy,43.36,11.03,2/6/16
WMB6073-18|Zerynthia cassandra|COI-5P|MH419116,cassandra,Italy,43.729,10.306,4/7/08
WMB6074-18|Zerynthia cassandra|COI-5P|MH419774,cassandra,Italy,43.823,11.102,4/20/09
WMB6075-18|Zerynthia cassandra|COI-5P|MH418930,cassandra,Italy,43.823,11.102,4/20/09
WMB6076-18|Zerynthia cassandra|COI-5P|MH419763,cassandra,Italy,43.823,11.102,4/20/09
WMB6077-18|Zerynthia cassandra|COI-5P|MH420257,cassandra,Italy,43.823,11.102,4/20/09
WMB6078-18|Zerynthia cassandra|COI-5P|MH419046,cassandra,Italy,43.823,11.102,4/20/09
WMB6079-18|Zerynthia cassandra|COI-5P|MH419691,cassandra,Italy,43.823,11.102,4/20/09
WMB6080-18|Zerynthia cassandra|COI-5P|MH418748,cassandra,Italy,43.823,11.102,4/20/09
WMB6081-18|Zerynthia cassandra|COI-5P|MH419310,cassandra,Italy,42.66,11.72,4/30/12
WMB6082-18|Zerynthia cassandra|COI-5P|MH420059,cassandra,Italy,42.66,11.72,4/30/13
WMB6083-18|Zerynthia cassandra|COI-5P|MH419711,cassandra,Italy,42.66,11.72,4/30/14
WMB6084-18|Zerynthia cassandra|COI-5P|MH420090,cassandra,Italy,42.66,11.72,4/30/15
WMB6085-18|Zerynthia cassandra|COI-5P|MH418959,cassandra,Italy,42.66,11.72,4/30/12
WMB6086-18|Zerynthia cassandra|COI-5P|MH420363,cassandra,Italy,42.66,11.72,4/30/12
WMB6087-18|Zerynthia cassandra|COI-5P|MH419452,cassandra,Italy,42.66,11.72,4/30/12
WMB6088-18|Zerynthia cassandra|COI-5P|MH419854,cassandra,Italy,42.66,11.72,4/30/12
WMB622-11|Zerynthia cassandra|COI-5P|MH419366,cassandra,Italy_Sicily,37.943,15.08,6/18/11
WMB6634-18|Zerynthia cassandra|COI-5P|MH419456,cassandra,Italy_Elba,42.752,10.205,4/13/09
WMB6635-18|Zerynthia cassandra|COI-5P|MH419042,cassandra,Italy_Elba,42.752,10.205,4/13/09
WMB6636-18|Zerynthia cassandra|COI-5P|MH419972,cassandra,Italy_Elba,42.752,10.205,4/13/09
WMB6637-18|Zerynthia cassandra|COI-5P|MH418672,cassandra,Italy_Elba,42.752,10.205,4/13/09
WMB6638-18|Zerynthia cassandra|COI-5P|MH419437,cassandra,Italy_Elba,42.752,10.205,4/13/09
WMB6639-18|Zerynthia cassandra|COI-5P|MH419161,cassandra,Italy_Elba,42.752,10.205,4/13/09
WMB6640-18|Zerynthia cassandra|COI-5P|MH418777,cassandra,Italy_Elba,42.752,10.205,4/13/09
WMB6641-18|Zerynthia cassandra|COI-5P|MH420305,cassandra,Italy_Elba,42.752,10.205,4/13/09
WMB6642-18|Zerynthia cassandra|COI-5P|MH420319,cassandra,Italy_Elba,42.752,10.205,4/13/09
WMB6643-18|Zerynthia cassandra|COI-5P|MH420068,cassandra,Italy,43.823,11.102,4/20/09
WMB6644-18|Zerynthia cassandra|COI-5P|MH419838,cassandra,Italy_Elba,42.752,10.205,4/13/09
WMB6645-18|Zerynthia cassandra|COI-5P|MH420027,cassandra,Italy,43.777,10.281,4/20/09
WMB6646-18|Zerynthia cassandra|COI-5P|MH418905,cassandra,Italy,40.242,15.499,5/4/10
WMB6647-18|Zerynthia cassandra|COI-5P|MH419751,cassandra,Italy,40.242,15.499,5/4/10
WMB6648-18|Zerynthia cassandra|COI-5P|MH420306,cassandra,Italy,40.242,15.499,5/4/10
WMB6649-18|Zerynthia cassandra|COI-5P|MH420129,cassandra,Italy,40.242,15.499,5/4/10
WMB6650-18|Zerynthia cassandra|COI-5P|MH420228,cassandra,Italy,40.242,15.499,5/4/10
WMB6651-18|Zerynthia cassandra|COI-5P|MH419722,cassandra,Italy,40.242,15.499,5/4/10
WMB6652-18|Zerynthia cassandra|COI-5P|MH419415,cassandra,Italy,40.242,15.499,5/4/10
WMB6653-18|Zerynthia cassandra|COI-5P|MH419026,cassandra,Italy,40.242,15.499,5/4/10
WMB6654-18|Zerynthia cassandra|COI-5P|MH419652,cassandra,Italy,40.242,15.499,5/4/10
WMB6655-18|Zerynthia cassandra|COI-5P|MH419457,cassandra,Italy_Sicily,37.84,13.425,4/11/11
WMB6656-18|Zerynthia cassandra|COI-5P|MH419132,cassandra,Italy_Sicily,37.649,14.965,4/12/12
WMB6657-18|Zerynthia cassandra|COI-5P|MH418781,cassandra,Italy_Sicily,37.649,14.965,4/12/12
WMB6658-18|Zerynthia cassandra|COI-5P|MH419930,cassandra,Italy_Sicily,37.649,14.965,4/12/12
EULEP4710-16|Zerynthia rumina|COI-5P,rumina,Morocco,30.6809,-9.4953,2/25/12
WMB4262-14|Zerynthia rumina|COI-5P,rumina,Morocco,29.77,-8.99,11/20/14
EULEP2037-15|Zerynthia caucasica|COI-5P|MW501646,caucasica,Russia,44.22,39.24,4/11/10
EULEP2038-15|Zerynthia caucasica|COI-5P|MW503072,caucasica,Russia,44.22,39.24,4/11/10
EULEP2039-15|Zerynthia caucasica|COI-5P|MW499549,caucasica,Russia,44.22,39.24,4/11/10
EULEP3419-16|Zerynthia caucasica|COI-5P|MW499295,caucasica,Russia,43.8589,39.3777,6/15/07
EULEP3420-16|Zerynthia caucasica|COI-5P|MW501422,caucasica,Russia,43.5653,39.7624,4/10/07
EULEP424-14|Zerynthia caucasica|COI-5P|MW499047,caucasica,Russia,45.0579184,38.8575889,4/15/98
EULEP425-14|Zerynthia caucasica|COI-5P|MW503652,caucasica,Russia,45.0579184,38.8575889,4/15/98
